kód obce;jméno obce;počet voličů;vydané obálky;platné hlasy;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Volte Pr.Blok www.cibulka.net;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Společ.proti výst.v Prok.údolí;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;OBČANÉ 2011-SPRAVEDL. PRO LIDI;Unie H.A.V.E.L.;Česká národní fronta;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů;Národ Sobě
598925;Albrechtice;3173;1957;1944;109;4;2;181;0;2;131;211;15;22;0;12;1;3;139;0;0;0;5;25;635;1;1;174;0;10;1;0;255;5;0
599051;Bohumín;17613;9040;8973;579;12;4;1241;0;9;133;821;85;91;0;87;7;6;641;0;0;0;12;119;3157;18;33;305;3;55;14;25;1478;38;0
598933;Český Těšín;19635;10429;10361;698;15;4;877;0;12;192;760;129;83;0;107;7;6;828;0;0;0;5;214;3597;12;19;1310;3;41;22;16;1365;39;0
598941;Dětmarovice;3507;2061;2048;148;3;1;161;0;4;46;241;12;7;0;18;0;3;153;0;0;0;1;19;816;4;4;66;0;8;3;6;307;17;0
598968;Dolní Lutyně;4299;2568;2547;157;3;3;243;0;2;127;243;16;13;0;17;3;2;158;0;0;1;0;33;968;0;5;140;2;7;1;7;385;11;0
568864;Doubrava;1013;526;526;14;4;2;40;0;0;9;62;3;5;0;4;0;0;34;0;0;0;0;3;221;0;0;24;0;3;0;2;92;4;0
555088;Havířov;61372;31666;31480;1699;60;13;2996;0;23;629;3694;373;207;0;275;13;71;2657;0;0;4;23;589;11596;29;55;1154;17;186;44;52;4904;117;0
598178;Horní Bludovice;1930;1294;1288;116;5;1;85;0;1;42;171;14;7;0;9;1;3;132;0;0;1;0;27;419;0;4;91;0;10;2;2;143;2;0
552739;Horní Suchá;3628;1908;1902;82;2;0;164;0;1;180;197;19;7;0;22;1;2;135;0;0;0;1;31;629;0;3;122;0;10;0;2;287;5;0
555291;Chotěbuz;1000;634;634;33;1;0;51;0;0;7;48;4;9;0;5;0;0;48;0;0;0;0;5;189;0;1;118;0;5;1;1;107;1;0
598917;Karviná;45014;21136;21025;900;34;8;2422;0;30;328;2365;166;151;0;116;20;7;1206;0;0;1;24;262;8426;20;61;747;7;52;21;38;3540;73;0
599069;Orlová;24736;11313;11257;548;11;2;1022;0;10;186;1251;82;92;0;91;20;3;696;0;0;4;10;123;4651;11;32;304;6;32;12;16;1909;133;0
599077;Petrovice u Karviné;4014;2470;2460;164;1;1;223;0;3;50;187;29;19;0;18;1;5;193;0;0;0;1;49;954;0;3;188;0;8;1;4;349;9;0
599085;Petřvald;5860;3048;3029;181;6;3;320;0;4;65;419;19;17;0;19;4;3;182;0;0;1;4;45;1087;3;5;86;1;22;7;5;510;11;0
599107;Rychvald;5963;3467;3444;220;2;3;304;0;2;68;342;39;10;0;31;5;3;261;0;0;0;1;75;1398;3;13;88;1;17;9;8;523;18;0
599140;Stonava;1473;910;904;20;2;0;67;0;0;28;85;6;6;0;3;0;1;66;0;0;0;0;18;398;0;3;73;1;0;1;1;124;1;0
599158;Těrlicko;3661;2389;2374;171;5;1;205;0;0;56;237;30;17;0;17;5;2;170;0;0;2;5;59;863;5;4;203;1;10;3;3;297;3;0
